Data File Name ,TributaryWaterQuality-Tributaries-Mercury-2012-v1.csv,,,,,,,,,,,
Date File Generated,2014-10-30,,,,,,,,,,,
Context Note ,"This data set includes river water concentrations of total mercury (THg; all forms of mercury in a sample) and methyl mercury (MeHg; the form of mercury that bioaccumulates through food webs) in five Athabasca River tributaries (Ells, Steepbank, Firebag, Muskeg and MacKay rivers).

No samples exceeded the Canadian Council of Ministers of the Environment guidelines for THg and MeHg.",,,,,,,,,,,
Organization Name ,Environment and Climate Change Canada,,,,,,,,,,,
Organization Contact Information ,"200 Sacre-Coeur Blvd, Gatineau, Quebec,  K1A 0H3",,,,,,,,,,,
Email,enviroinfo@canada.ca,,,,,,,,,,,
Program,"Joint Canada-Alberta Implementation Plan for Oil Sands Monitoring (JOSM), Water Implementation Plan Activities –Surface Water Quality - Event-Based Water Quality (http://www.publications.gc.ca/site/eng/436043/publication.html)",,,,,,,,,,,
Principal Investigator ,Jane Kirk,,,,,,,,,,,
Principal Investigator Affiliation ,"Environment and Climate Change Canada, Science and Technology Branch, Water Science and Technology Directorate, Aquatic Contaminants Research Division",,,,,,,,,,,
*Co-investigator ,Derek Muir,,,,,,,,,,,
*Co-investigator Affiliation ,"Environment and Climate Change Canada, Science and Technology Branch, Water Science and Technology Directorate, Aquatic Contaminants Research Division",,,,,,,,,,,
*Principal Investigator Contact Information,,,,,,,,,,,,
Data Steward(s) ,Jane Kirk,,,,,,,,,,,
Open Government Licence-Canada ,http://open.canada.ca/en/open-government-licence-canada,,,,,,,,,,,
Attribution,"Environment and Climate Change Canada, [Year Accessed].  Data File Name [Name of data file], generated [Year-Month-Day]. Accessed on [Year-Month-Day] from [Name and URL of the data portal].",,,,,,,,,,,
Acknowledgement statement ,"The author(s) acknowledge Environment and Climate Change Canada and [if applicable, enter the names of any co-contributors, co-funding agencies, and/or collaborators] for the provision of [type of] data accessed from [Name and URL of the data portal].  [If applicable:  The original data/data files were modified and redistributed and/or used to produce derivative work as follows: …enter details…].    ",,,,,,,,,,,
Quality Assurance Level and Disclaimer ,"Level 1, defined as a complete data set of specified quality that consists of research products subjected to quality assurance and quality control checks and data management procedures.",,,,,,,,,,,
,,,,,,,,,,,,
Total Mercury  (THg) - BrCl oxidation;SnSO2 reduction; CVAFS detection using a Tekran 2500,,,,,,,,,,,,
Methyl mercury (MeHg) - Disillation; aqueous phase ethylation; GC separation; CVAFS using a Brooks Rand MERX,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Site Name,River Name,"Latitude (Degrees, Minutes, Seconds)","Longitude (Degrees, Minutes, Seconds)",Latitude (Decimal Degrees),Longitude (Decimal Degrees),Date (yyyy-mm-dd),Total Mercury (THg ng L-1),Methyl Mercury (MeHg ng L-1),,,,
